MAKE,BASEMODEL,CLASS
BMW,iX,SUV
Bentley,Bentayga,SUV
Ferrari,Purosangue,SUV
Fisker,Ocean,SUV
GMC,Hummer EV,SUV
INEOS Automotive,Grenadier,SUV
Maserati,Levante,SUV
Mazda,CX-90,SUV
Mercedes-Benz,GLS-Class,SUV
Rivian,R1S,SUV
Subaru,Ascent,SUV
Tesla,Model X,SUV
Acura,RSX,Sedan
Alfa Romeo,Milano,Sedan
Aston Martin,Lagonda,Sedan
Aston Martin,Rapide,Sedan
Aston Martin,Saloon/Vantage/Volante,Sedan
Aston Martin,Virage/Volante,Sedan
Audi,4000,Sedan
Audi,Coupe GT,Sedan
Audi,Coupe quattro,Sports Sedan
Audi,Quattro,Sports Sedan
Audi,RS 3,Sedan
Audi,RS 5,Sedan
Audi,S3,Sedan
Audi,TT RS,Sports Sedan
Audi,TTS,Sports Sedan
Audi,TTS Coupe,Sports Sedan
BMW,1 Series,Sedan
BMW,Active E,Sedan
BMW,i3,Sedan
BMW,i4,Sedan
BMW,i8,Sedan
Bentley,Continental Supersports,Sports Sedan
Buick,Cascada,Sedan
CODA Automotive,CODA,Sedan
Cadillac,ELR,Sedan
Chevrolet,Chevette,Sedan
Chevrolet,Metro,Sedan
Chevrolet,Spark,Sedan
Chevrolet,Spectrum,Sedan
Chrysler,Conquest,Sedan
Chrysler,Laser,Sedan
Chrysler,Laser/Daytona,Sedan
Daihatsu,Charade,Sedan
Dodge,Colt,Sedan
Dodge,Conquest,Sedan
Dodge,Daytona,Sedan
Dodge,Stealth,Sedan
Eagle,Talon,Sedan
Ferrari,456 MGT/MGA,Sedan
Ferrari,Ferrari 456,Sedan
Ferrari,Ferrari Mondial T/Cabriolet,Sedan
Ferrari,Mondial T/Cabriolet,Sedan
Fisker,Karma,Sedan
Ford,Aspire,Sedan
Ford,Festiva,Sedan
Ford,Mustang,Sedan
Geo,Metro,Sedan
Geo,Spectrum,Sedan
Geo,Storm,Sedan
Honda,Prelude,Sedan
Hyundai,Excel,Sedan
Hyundai,Pony Excel,Sedan
Hyundai,Scoupe,Sedan
Hyundai,Tiburon,Sedan
Import Trade Services,ITS 190E,Sedan
Import Trade Services,ITS 190E 2.0,Sedan
Import Trade Services,ITS 190E 2.3,Sedan
Import Trade Services,ITS 230CE,Sedan
Infiniti,J30,Sedan
Infiniti,M30,Sedan
Infiniti,Q60,Sedan
Isuzu,750C/I-Mark,Sedan
Isuzu,I-Mark,Sedan
Isuzu,Impulse,Sedan
Jaguar,XJRS,Sedan
Karma,GS-6,Sedan
Karma,Revero,Sedan
Lexus,NX,SUV
Lexus,LX470,SUV
Lexus,LX450,SUV
Maserati,430,Sedan
Maserati,Coupe Cambiocorsa/Coupe GT,Sedan
Maserati,Coupe Cambiocorsa/GT/G-Sport,Sedan
Maserati,Coupe and Gransport,Sedan
Maserati,GranTurismo,Sedan
Maserati,Grancabrio,Sedan
Mazda,GLC,Sedan
Mazda,MX-3,Sedan
Mazda,MX-6,Sedan
Mazda,RX-8,Sedan
Mercedes-Benz,A-Class,Sedan
Mercedes-Benz,CLE-Class,Sedan
Mitsubishi,3000 GT,Sedan
Mitsubishi,3000 GT Spyder,Sedan
Mitsubishi,Cordia,Sedan
Mitsubishi,Starion,Sedan
Mitsubishi,Tredia,Sedan
Mitsubishi,i-MiEV,Sedan
Nissan,200SX,Sedan
Nissan,300ZX,Sedan
Nissan,GT-R,Sedan
Nissan,Pulsar NX,Sedan
Nissan,Pulsar/Pulsar-NX,Sedan
Nissan,Sentra/200SX,Sedan
Plymouth,Colt,Sedan
Plymouth,Conquest,Sedan
Plymouth,Laser,Sedan
Plymouth,Turismo,Sedan
Pontiac,1000,Sedan
Pontiac,Firebird/Trans Am/Formula,Sedan
Pontiac,G5,Sedan
Pontiac,Sunburst,Sedan
Quantum Technologies,Chevrolet Cavalier,Sedan
Renault,18i/Wagon/Sportwagon,Sedan
Renault,Fuego,Sedan
Rolls-Royce,Azure,Sedan
Roush Performance,Stage 3 Mustang,Sedan
Saab,Convertible,Sedan
Saleen,Mustang,Sedan
Saleen,SSC,Sedan
Saleen Performance,S281 Family,Sedan
Saturn,SC,Sedan
Scion,iA,Sedan
Scion,xA,Sedan
Scion,xD,Sedan
Subaru,Hatchback,Sedan
Subaru,Justy,Sedan
Subaru,RX Turbo,Sedan
Subaru,SVX,Sedan
Subaru,XT,Sedan
Suzuki,Esteem,Sedan
Suzuki,SW,Sedan
Toyota,Tercel,Sedan
Volkswagen,Cabrio,Sedan
Volkswagen,Corrado,Sedan
Volkswagen,Eos,Sedan
Volkswagen,Fox,Sedan
Volkswagen,Scirocco,Sedan
Wallace Environmental,Wetl 190E,Sedan
Wallace Environmental,Wetl 850I,Sedan
Yugo,GV/GVX,Sedan
Acura,NSX,Sports Sedan
Alfa Romeo,4C,Sports Sedan
Alfa Romeo,Spider,Sports Sedan
Aston Martin,DB AR1,Sports Sedan
Aston Martin,DB7,Sports Sedan
Aston Martin,DBS,Sports Sedan
Aston Martin,Valour,Sports Sedan
Aston Martin,Vanquish,Sports Sedan
Aston Martin,Vantage,Sports Sedan
Aston Martin,Vantage Manual,Sports Sedan
Audi,R8,Sports Sedan
Audi,R8 Spyder,Sports Sedan
Audi,TT,Sports Sedan
Audi,TT Roadster,Sports Sedan
Aurora Cars Ltd,Aurora,Sports Sedan
Autokraft Limited,A.C.MARK IV,Sports Sedan
Autokraft Limited,A.C.Mkiv,Sports Sedan
BMW,M,Sports Sedan
BMW,Z3,Sports Sedan
BMW,Z4,Sports Sedan
BMW,Z8,Sports Sedan
BMW,i8,Sports Sedan
BMW Alpina,Roadster,Sports Sedan
Bentley,Continental Supersports Convertible,Sports Sedan
Rolls-Royce,Corniche/Continental,Sports Sedan
Bertone,X1/9,Sports Sedan
Bugatti,Chiron,Sports Sedan
Bugatti,Divo,Sports Sedan
Bugatti,Veyron,Sports Sedan
Buick,Reatta,Sports Sedan
CX Automotive,CX,Sports Sedan
Cadillac,Allante,Sports Sedan
Cadillac,XLR,Sports Sedan
Cadillac,XLR-V,Sports Sedan
Chevrolet,Corvette,Sports Sedan
Chrysler,Crossfire,Sports Sedan
Chrysler,Prowler,Sports Sedan
Chrysler,QC Car,Sports Sedan
Chrysler,TC,Sports Sedan
Consulier Industries Inc,Consulier GTP,Sports Sedan
Dodge,Viper,Sports Sedan
Environmental Rsch and Devp Corp,ERD 1,Sports Sedan
Evans Automobiles,Series 1,Sports Sedan
Ferrari,296 GTB,Sports Sedan
Ferrari,296 GTB Spider,Sports Sedan
Ferrari,308,Sports Sedan
Ferrari,328 GTS/GTB,Sports Sedan
Ferrari,348 TB/TS,Sports Sedan
Ferrari,360 Modena/Modena F1,Sports Sedan
Ferrari,360 Modena/Spider,Sports Sedan
Ferrari,360 Modena/Spider/Challenge,Sports Sedan
Ferrari,458 Italia,Sports Sedan
Ferrari,458 Speciale,Sports Sedan
Ferrari,458 Spider,Sports Sedan
Ferrari,488 GTB,Sports Sedan
Ferrari,488 Pista,Sports Sedan
Ferrari,488 Pista Spider,Sports Sedan
Ferrari,488 Spider,Sports Sedan
Ferrari,550 Maranello,Sports Sedan
Ferrari,550 Maranello/Barchetta,Sports Sedan
Ferrari,575,Sports Sedan
Ferrari,575 M Maranello,Sports Sedan
Ferrari,575 M Maranello and Superamerica,Sports Sedan
Ferrari,599 GTB,Sports Sedan
Ferrari,599 GTB Fiorano,Sports Sedan
Ferrari,599 GTO,Sports Sedan
Ferrari,599 SA Aperta,Sports Sedan
Ferrari,812 Competizione,Sports Sedan
Ferrari,812 GTS,Sports Sedan
Ferrari,812 Superfast,Sports Sedan
Ferrari,California,Sports Sedan
Ferrari,Daytona SP3,Sports Sedan
Ferrari,Enzo Ferrari,Sports Sedan
Ferrari,F 40,Sports Sedan
Ferrari,F12,Sports Sedan
Ferrari,F12 Berlinetta,Sports Sedan
Ferrari,F12 tdf,Sports Sedan
Ferrari,F141,Sports Sedan
Ferrari,F355/355 F1,Sports Sedan
Ferrari,F40,Sports Sedan
Ferrari,F430,Sports Sedan
Ferrari,F60 America,Sports Sedan
Ferrari,F8 Spider,Sports Sedan
Ferrari,F8 Tributo,Sports Sedan
Ferrari,Ferrari 348 TB/TS,Sports Sedan
Ferrari,Ferrari 348 TB/TS/Spider,Sports Sedan
Ferrari,Ferrari 512 TR,Sports Sedan
Ferrari,Ferrari 550 Maranello,Sports Sedan
Ferrari,Ferrari F355,Sports Sedan
Ferrari,Ferrari F355 Berlinetta/GTS,Sports Sedan
Ferrari,Ferrari F355/355 F1,Sports Sedan
Ferrari,Ferrari F50,Sports Sedan
Ferrari,Ferrari F512M,Sports Sedan
Ferrari,LaFerrari,Sports Sedan
Ferrari,Monza SP1,Sports Sedan
Ferrari,Monza SP2,Sports Sedan
Ferrari,SF90 Spider,Sports Sedan
Ferrari,SF90 Stradale,Sports Sedan
Ferrari,SF90 Stradale Coupe,Sports Sedan
Ferrari,Testarossa,Sports Sedan
Fiat,124 Spider,Sports Sedan
Ford,EXP,Sports Sedan
Ford,GT,Sports Sedan
Ford,Th!nk,Sports Sedan
GMC,EV1,Sports Sedan
Goldacre,Goldacre Limited,Sports Sedan
Honda,CR-Z,Sports Sedan
Honda,Del Sol,Sports Sedan
Honda,S2000,Sports Sedan
Import Trade Services,MB 300SL,Sports Sedan
Isis Imports Ltd,Morgan Plus 8,Sports Sedan
J.K. Motors,300SL,Sports Sedan
J.K. Motors,300SL MERC BENZ,Sports Sedan
J.K. Motors,Testarossa,Sports Sedan
Jaguar,F-Type,Sports Sedan
Jaguar,XJRS,Sports Sedan
Jaguar,XJS,Sports Sedan
Kenyon Corporation Of America,Kenyon 5.0 Cabrio,Sports Sedan
Koenigsegg,Agera RS,Sports Sedan
Koenigsegg,Regera,Sports Sedan
Lamborghini,Aventador,Sports Sedan
Lamborghini,Countach,Sports Sedan
Lamborghini,Diablo,Sports Sedan
Lamborghini,Gallardo,Sports Sedan
Lamborghini,Huracan,Sports Sedan
Lamborghini,Murcielago,Sports Sedan
Lamborghini,Veneno,Sports Sedan
Lexus,LX,SUV
Lotus,Elan,Sports Sedan
Lotus,Elise/Exige,Sports Sedan
Lotus,Emira,Sports Sedan
Lotus,Esprit,Sports Sedan
MINI,Roadster,Sports Sedan
Maserati,Biturbo Spyder,Sports Sedan
Maserati,Karif,Sports Sedan
Maserati,MC20,Sports Sedan
Maserati,Q,Sports Sedan
Maserati,Spyder,Sports Sedan
Mazda,MX-5,Sports Sedan
Mazda,MX-5 Miata,Sports Sedan
Mazda,RX-7,Sports Sedan
McLaren Automotive,540C Coupe,Sports Sedan
McLaren Automotive,570GT,Sports Sedan
McLaren Automotive,570S Coupe,Sports Sedan
McLaren Automotive,570S Spider,Sports Sedan
McLaren Automotive,600LT Coupe,Sports Sedan
McLaren Automotive,600LT Spider,Sports Sedan
McLaren Automotive,620R Coupe,Sports Sedan
McLaren Automotive,650S Can-Am,Sports Sedan
McLaren Automotive,650S Coupe,Sports Sedan
McLaren Automotive,650S Spider,Sports Sedan
McLaren Automotive,675LT Coupe,Sports Sedan
McLaren Automotive,675LT Spider,Sports Sedan
McLaren Automotive,720S Coupe,Sports Sedan
McLaren Automotive,720S Spider,Sports Sedan
McLaren Automotive,765LT Coupe,Sports Sedan
McLaren Automotive,765LT Spider,Sports Sedan
McLaren Automotive,Artura,Sports Sedan
McLaren Automotive,Elva,Sports Sedan
McLaren Automotive,GT,Sports Sedan
McLaren Automotive,MP4-12C Coupe,Sports Sedan
McLaren Automotive,MP4-12C Spider,Sports Sedan
McLaren Automotive,MSO HS,Sports Sedan
McLaren Automotive,P1,Sports Sedan
McLaren Automotive,Sabre,Sports Sedan
McLaren Automotive,Senna,Sports Sedan
McLaren Automotive,Speedtail,Sports Sedan
Mercedes-Benz,300,Sports Sedan
Mercedes-Benz,380,Sports Sedan
Mercedes-Benz,500,Sports Sedan
Mercedes-Benz,560,Sports Sedan
Mercedes-Benz,600,Sedan
Mercedes-Benz,AMG GT,Sports Sedan
Mercedes-Benz,SL-Class,Sports Sedan
Mercedes-Benz,SLC-Class,Sports Sedan
Mercedes-Benz,SLK-Class,Sports Sedan
Mercedes-Benz,SLR,Sports Sedan
Mercedes-Benz,SLS AMG,Sports Sedan
Morgan,Plus Eight,Sports Sedan
Nissan,350z,Sports Sedan
Nissan,370Z,Sports Sedan
Nissan,Hyper-Mini,Sports Sedan
Nissan,Z,Sports Sedan
Pagani,Huayra,Sports Sedan
Pagani,Huayra Coupe,Sports Sedan
Panos,Roadster,Sports Sedan
Panoz Auto-Development,Panoz Roadster,Sports Sedan
Panther Car Company Limited,Kallista,Sports Sedan
Pininfarina,Spider,Sports Sedan
Plymouth,Prowler,Sports Sedan
Pontiac,Fiero,Sports Sedan
Pontiac,Solstice,Sports Sedan
Porsche,718,Sports Sedan
Porsche,911,Sports Sedan
Porsche,918 Spyder,Sports Sedan
Porsche,968,Sports Sedan
Porsche,Boxster,Sports Sedan
Porsche,Carrera,Sports Sedan
Porsche,Carrera 2 911 GT3,Sports Sedan
Porsche,Carrera 4,Sports Sedan
Porsche,Carrera GT,Sports Sedan
Porsche,Cayman,Sports Sedan
Porsche,Turbo 2 911 GT2,Sports Sedan
Porsche,Turbo GT2,Sports Sedan
RUF Automobile,RUF TURBO 12/CTR3,Sports Sedan
RUF Automobile,RUFTURBO12/CTR3/CTR2017,Sports Sedan
RUF Automobile,T12/CTR3/CTR Anniversary,Sports Sedan
RUF Automobile,TURBO12/CTR3/CTR ANNIVERSARY,Sports Sedan
Red Shift Ltd.,Delta 204T,Sports Sedan
Ruf Automobile Gmbh,Ruf,Sports Sedan
SRT,Viper,Sports Sedan
Saturn,SKY,Sports Sedan
Shelby,Mustang GT,Sports Sedan
Spyker,C8,Sports Sedan
Suzuki,X-90,Sports Sedan
TVR Engineering Ltd,TVR 280i Convertible,Sports Sedan
TVR Engineering Ltd,TVR 280i Coupe,Sports Sedan
TVR Engineering Ltd,TVR 280i/350i Convertible,Sports Sedan
TVR Engineering Ltd,TVR 280i/350i Coupe,Sports Sedan
Texas Coach Company,500SL,Sports Sedan
Toyota,GR Supra,Sports Sedan
Toyota,MR2,Sports Sedan
Vector,Avtech SC / M12,Sports Sedan
Vector,W8,Sports Sedan
Wallace Environmental,Wetl 500,Sports Sedan
Wallace Environmental,Wetl 560,Sports Sedan
Wallace Environmental,Wetl Testarossa,Sports Sedan
smart,fortwo,Sports Sedan
Chevrolet,Astro Cargo,Van
Chevrolet,Astro Passenger,Van
Chevrolet,Express Passenger,Van
Chevrolet,G10/20 Van,Van
Chevrolet,G30 Van,Van
Chevrolet,Sport Van,Van
Chevrolet,Van 1500/2500,Van
Dodge,B150/B250 Van,Van
Dodge,B150/B250 Wagon,Van
Dodge,B1500/B2500 Van,Van
Dodge,B1500/B2500 Wagon,Van
Dodge,B350 Van,Van
Dodge,B350 Wagon,Van
Dodge,B3500 Van,Van
Dodge,B3500 Wagon,Van
Ford,Aerostar Van,Van
Ford,Aerostar Wagon,Van
Ford,E150 Club Wagon,Van
Ford,E150 Econoline,Van
Ford,E250 Econoline,Van
Dodge,W250,Pickup Truck
GMC,Rally,Van
GMC,Safari,Van
GMC,Safari Cargo,Van
GMC,Safari Passenger,Van
GMC,Savana Cargo,Van
GMC,Savana Passenger,Van
GMC,Vandura,Van
Mitsubishi,Van,Van
Mitsubishi,Wagon,Van
Nissan,Van,Van
Toyota,Previa,Van
Toyota,Van,Van
Volkswagen,Vanagon,Van
Chevrolet,Express Cargo,Van
Chevrolet,Van 15/25 Conversion,Van
Chevrolet,Van 1500,Van
Dodge,B1500 Van,Van
Dodge,B2500 Van,Van
Dodge,Ram Van 1500,Van
Dodge,Ram Van 2500,Van
Ford,E150 Van,Van
Ford,E250 Van,Van
Ford,E350 Van,Van
Nissan,NV200 Cargo Van,Van
Dodge,B1500 Wagon,Van
Dodge,B2500 Wagon,Van
Dodge,Ram Wagon 1500,Van
Dodge,Ram Wagon 2500,Van
Ford,E150 Wagon,Van
Ford,E350 Wagon,Van
Ford,Transit T150 Wagon,Van
Lexus,LS460,Sedan
Mercedes-Benz,C300,Sedan
BMW,328i,Sedan
Ford,F350,Pickup Truck
Ford,Econoline E150,Van
Ford,Econoline E250,Van
Ford ,Astro,Van
GMC,Savannah,Van
Ford,F450,Pickup Truck
Jeep,Laredo,SUV
Lexus,LS430,Sedan
Chevrolet,CK1500,Pickup Truck
Mercedes-Benz,ML350,SUV
Lexus,LS400,Sedan
Lexus,LS,Sedan
Ford,Econoline E450,Van
Ford,Econoline E100,Van
Lexus,LFA,Sports Sedan
Toyota,Solara,Sedan
Lexus,LC,Sedan
LEXUS,IS350,Sedan
Ford,F550,Pickup Truck
GMC,Denali,SUV
Chevrolet,CK2500,Pickup Truck
Ford,F650,Pickup Truck
LEXUS,IS300,Sedan
Lexus,IS250,Sedan
Lexus,IS250,Sedan
LEXUS,IS200,Sedan
Lexus,IS F,Sedan
Lexus,IS,Sedan
Lexus,HS,Sedan
LEXUS,GX470,SUV
LEXUS,GX460,SUV
Lexus,GX,SUV
Lexus,GS350,Sedan
Lexus,GS,Sedan
Lexus,ES350,Sedan
Lexus,ES330,Sedan
Lexus,ES300,Sedan
Lexus,ES,Sedan
Lexus,CT,Sedan
Ford,F150 XLT,Pickup Truck
Ford,Super Duty,Pickup Truck
Audi,Quattro,Sedan
Mercedes-Benz,S500,Sedan
BMW,750,Sedan
BMW,325,Sedan
Mercedes-Benz,C250,Sedan
Ford,F650 SUPER CREW,Pickup Truck